country;cases;deaths;population;flag
Austria;1376485;13436;9000000;au
Belgium;2347164;28566;11589000;be
Bulgaria;799943;31838;6948000;bu
Croatia;785033;12983;4105257;hr
Cyprus;215271;669;1207000;cy
Czechia;2562235;36765;10708000;ez
Denmark;1030638;3433;5792000;da
Estonia;260396;1967;1326535;en
Finland;347276;1688;5540720;fi
France;12934982;126305;65273511;fr
Germany;7743228;115051;83783942;gm
Greece;1592460;21637;10423000;gr
Hungary;1318093;40164;9660351;hu
Iceland;42530;42;341243;ic
Ireland;1042212;6035;4937000;ei
Italy;7971068;139872;60461000;it
Latvia;293395;4690;1886000;lg
Liechtenstein;6915;72;38128;ls
Lithuania;555971;7603;2722289;lh
Luxembourg;118925;930;625000;lu
Malta;61925;496;441000;mt
Netherlands;3432119;21114;17134000;nl
Norway;460530;1372;5421000;no
Poland;4248559;100938;37846000;pl
Portugal;1734343;19181;10196000;po
Romania;1866102;59114;19237000;ro
Slovakia;815720;9892;5459000;lo
Slovenia;512793;6160;2078000;si
Spain;7771367;90508;46754000;sp
Sweden;1509230;15462;10099265;sw
